ts_iso,coin,size_usd,spot_ask,perp_bid,entry_basis_pct,spot_bid,perp_ask,exit_basis_pct,spot_spread_pct,perp_spread_pct,net_edge_taker_pct,net_edge_maker_pct
2026-06-18T16:50:21.070730+00:00,HYPE,35.0,67.39600000,67.48000000,0.1246,67.37100000,67.48200000,0.1648,0.0371,0.0030,-0.0854,0.0246
2026-06-18T16:50:21.070730+00:00,PURR,35.0,0.09206037,0.09210100,0.0441,0.09175766,0.09237400,0.6717,0.3291,0.2964,-0.1659,-0.0559
2026-06-18T16:50:26.071132+00:00,HYPE,35.0,67.31300000,67.39992434,0.1291,67.31100000,67.42100000,0.1634,0.0030,0.0282,-0.0809,0.0291
2026-06-18T16:50:26.071132+00:00,PURR,35.0,0.09206037,0.09210100,0.0441,0.09175766,0.09237400,0.6717,0.3291,0.2964,-0.1659,-0.0559
2026-06-18T16:50:31.072649+00:00,HYPE,35.0,67.34200000,67.43400000,0.1366,67.33900000,67.44306300,0.1545,0.0045,0.0104,-0.0734,0.0366
2026-06-18T16:50:31.072649+00:00,PURR,35.0,0.09206037,0.09210100,0.0441,0.09175932,0.09237400,0.6699,0.3269,0.2964,-0.1659,-0.0559
2026-06-18T16:50:36.072953+00:00,HYPE,35.0,67.35600000,67.44865522,0.1376,67.34500000,67.46100000,0.1722,0.0163,0.0163,-0.0724,0.0376
2026-06-18T16:50:36.072953+00:00,PURR,35.0,0.09206100,0.09210100,0.0434,0.09175866,0.09237400,0.6706,0.3291,0.2964,-0.1666,-0.0566
2026-06-18T16:50:41.074716+00:00,HYPE,35.0,67.33400000,67.42400000,0.1337,67.33200000,67.42500000,0.1381,0.0030,0.0015,-0.0763,0.0337
2026-06-18T16:50:41.074716+00:00,PURR,35.0,0.09206100,0.09210100,0.0434,0.09175866,0.09237400,0.6706,0.3291,0.2964,-0.1666,-0.0566
2026-06-18T16:50:46.076686+00:00,HYPE,35.0,67.31200000,67.41200000,0.1486,67.31100000,67.41300000,0.1515,0.0015,0.0015,-0.0614,0.0486
